timestamp,network_state,health_state,command,latency_ms,consecutive_windows,fusion_state,deterioration_prob
1778419088.108268,Critical,ALERT,SEMANTIC_ALERT,265.442,11,UNKNOWN,
1778419088.85629,Stable,ALERT,FULL_ECG_PRIORITY,756.596,3,UNKNOWN,
1778419089.604721,Critical,ALERT,SEMANTIC_ALERT,506.526,3,UNKNOWN,
1778419090.350639,Stable,ALERT,FULL_ECG_PRIORITY,252.643,1,UNKNOWN,
1778419091.100138,Critical,ALERT,SEMANTIC_ALERT,753.596,3,UNKNOWN,
1778419091.848492,Stable,ALERT,FULL_ECG_PRIORITY,255.072,1,UNKNOWN,
1778419092.37638,Critical,NORMAL,SEMANTIC_SUMMARY,532.546,2,UNKNOWN,
1778419093.352568,Stable,NORMAL,FULL_ECG,257.013,1,UNKNOWN,
1778419094.096398,Critical,NORMAL,SEMANTIC_SUMMARY,753.933,3,UNKNOWN,
1778419094.600116,Stable,NORMAL,FULL_ECG,257.765,1,UNKNOWN,
1778419095.349612,Critical,NORMAL,SEMANTIC_SUMMARY,753.418,3,UNKNOWN,
1778419096.108283,Stable,NORMAL,FULL_ECG,265.044,1,UNKNOWN,
1778419096.845669,Critical,NORMAL,SEMANTIC_SUMMARY,753.999,3,UNKNOWN,
1778419097.352527,Stable,NORMAL,FULL_ECG,252.451,1,UNKNOWN,
1778419098.096125,Critical,NORMAL,SEMANTIC_SUMMARY,753.491,3,UNKNOWN,
1778419098.85228,Stable,NORMAL,FULL_ECG,256.072,1,UNKNOWN,
1778419099.596574,Critical,NORMAL,SEMANTIC_SUMMARY,752.508,3,UNKNOWN,
1778419100.349808,Stable,NORMAL,FULL_ECG,252.685,1,UNKNOWN,
1778419101.100789,Critical,NORMAL,SEMANTIC_SUMMARY,757.977,3,UNKNOWN,
1778419101.852416,Stable,NORMAL,FULL_ECG,257.733,1,UNKNOWN,
1778419102.353986,Critical,NORMAL,SEMANTIC_SUMMARY,503.473,2,UNKNOWN,
1778419103.099876,Stable,NORMAL,FULL_ECG,257.505,1,UNKNOWN,
1778419103.60036,Critical,NORMAL,SEMANTIC_SUMMARY,507.2,2,UNKNOWN,
1778419104.102704,Stable,NORMAL,FULL_ECG,252.657,1,UNKNOWN,
1778419104.853101,Critical,NORMAL,SEMANTIC_SUMMARY,760.129,3,UNKNOWN,
1778419105.605551,Stable,NORMAL,FULL_ECG,255.401,1,UNKNOWN,
1778419106.347074,Critical,NORMAL,SEMANTIC_SUMMARY,752.625,3,UNKNOWN,
1778419107.097136,Stable,NORMAL,FULL_ECG,253.438,1,UNKNOWN,
1778419107.602072,Critical,NORMAL,SEMANTIC_SUMMARY,503.919,2,UNKNOWN,
1778419108.351351,Stable,NORMAL,FULL_ECG,252.987,1,UNKNOWN,
1778419109.096894,Critical,NORMAL,SEMANTIC_SUMMARY,755.336,3,UNKNOWN,
1778419109.852792,Stable,NORMAL,FULL_ECG,256.261,1,UNKNOWN,
1778419110.353085,Critical,NORMAL,SEMANTIC_SUMMARY,503.734,2,UNKNOWN,
1778419111.100081,Stable,NORMAL,FULL_ECG,257.362,1,UNKNOWN,
1778419111.612051,Critical,NORMAL,SEMANTIC_SUMMARY,517.223,2,UNKNOWN,
1778419112.352341,Stable,NORMAL,FULL_ECG,258.205,1,UNKNOWN,
1778419113.104455,Critical,NORMAL,SEMANTIC_SUMMARY,756.796,3,UNKNOWN,
1778419113.847484,Stable,NORMAL,FULL_ECG,254.388,1,UNKNOWN,
1778419114.350433,Critical,NORMAL,SEMANTIC_SUMMARY,503.252,2,UNKNOWN,
1778419115.13775,Stable,NORMAL,FULL_ECG,287.613,1,UNKNOWN,
1778419115.84955,Critical,NORMAL,SEMANTIC_SUMMARY,756.767,3,UNKNOWN,
1778419116.608251,Stable,NORMAL,FULL_ECG,256.769,1,UNKNOWN,
1778419117.348738,Critical,NORMAL,SEMANTIC_SUMMARY,755.205,3,UNKNOWN,
1778419118.096727,Stable,NORMAL,FULL_ECG,252.46,1,UNKNOWN,
1778419118.599314,Critical,NORMAL,SEMANTIC_SUMMARY,508.013,2,UNKNOWN,
1778419119.37767,Stable,NORMAL,FULL_ECG,285.742,1,UNKNOWN,
1778419120.099136,Critical,NORMAL,SEMANTIC_SUMMARY,756.877,3,UNKNOWN,
1778419120.852633,Stable,NORMAL,FULL_ECG,254.066,1,UNKNOWN,
1778419121.594802,Critical,NORMAL,SEMANTIC_SUMMARY,753.345,3,UNKNOWN,
1778419122.357302,Stable,NORMAL,FULL_ECG,259.945,1,UNKNOWN,
1778419123.098922,Critical,NORMAL,SEMANTIC_SUMMARY,757.175,3,UNKNOWN,
1778419124.102829,Stable,NORMAL,FULL_ECG,255.582,1,UNKNOWN,
1778419124.846035,Critical,NORMAL,SEMANTIC_SUMMARY,753.355,3,UNKNOWN,
1778419125.600842,Stable,NORMAL,FULL_ECG,259.011,1,UNKNOWN,
1778419126.346006,Critical,NORMAL,SEMANTIC_SUMMARY,754.519,3,UNKNOWN,
1778419127.099828,Stable,NORMAL,FULL_ECG,258.131,1,UNKNOWN,
1778419127.851482,Critical,NORMAL,SEMANTIC_SUMMARY,757.822,3,UNKNOWN,
1778419128.598426,Stable,NORMAL,FULL_ECG,252.805,1,UNKNOWN,
1778419129.101923,Critical,NORMAL,SEMANTIC_SUMMARY,509.378,2,UNKNOWN,
1778419129.853799,Stable,NORMAL,FULL_ECG,253.778,1,UNKNOWN,
1778419130.355153,Critical,NORMAL,SEMANTIC_SUMMARY,504.696,2,UNKNOWN,
1778419131.102345,Stable,NORMAL,FULL_ECG,253.056,1,UNKNOWN,
1778419131.852543,Critical,NORMAL,SEMANTIC_SUMMARY,755.758,3,UNKNOWN,
1778419132.602865,Stable,NORMAL,FULL_ECG,253.044,1,UNKNOWN,
1778419133.10289,Critical,CRITICAL,SEMANTIC_CRITICAL,507.704,2,UNKNOWN,
1778419133.60306,Critical,NORMAL,SEMANTIC_SUMMARY,256.159,4,UNKNOWN,
1778419134.344077,Stable,CRITICAL,SEMANTIC_CRITICAL,752.77,1,UNKNOWN,
1778419139.350918,Critical,CRITICAL,SEMANTIC_SUMMARY,255.263,20,UNKNOWN,
1778419140.102934,Stable,CRITICAL,SEMANTIC_CRITICAL,505.506,1,UNKNOWN,
1778419141.603079,Critical,CRITICAL,SEMANTIC_SUMMARY,257.159,6,UNKNOWN,
1778419142.347155,Stable,CRITICAL,SEMANTIC_CRITICAL,752.872,1,UNKNOWN,
1778419143.59911,Critical,CRITICAL,SEMANTIC_SUMMARY,256.096,5,UNKNOWN,
1778419144.102751,Critical,ALERT,SEMANTIC_ALERT,254.264,7,UNKNOWN,
1778419144.603018,Stable,ALERT,FULL_ECG_PRIORITY,505.916,2,UNKNOWN,
1778419145.103026,Critical,CRITICAL,SEMANTIC_CRITICAL,508.087,2,UNKNOWN,
1778419147.594411,Critical,CRITICAL,SEMANTIC_SUMMARY,252.824,12,UNKNOWN,
1778419148.347024,Critical,CRITICAL,SEMANTIC_CRITICAL,252.542,15,UNKNOWN,
1778419148.854374,Critical,CRITICAL,SEMANTIC_SUMMARY,254.293,17,UNKNOWN,
1778419149.59685,Stable,CRITICAL,SEMANTIC_CRITICAL,752.893,1,UNKNOWN,
1778419150.854533,Critical,CRITICAL,SEMANTIC_SUMMARY,254.559,4,UNKNOWN,
1778419151.604782,Stable,CRITICAL,SEMANTIC_CRITICAL,753.844,2,UNKNOWN,
1778419152.344447,Critical,CRITICAL,SEMANTIC_SUMMARY,252.577,3,UNKNOWN,
1778419153.105805,Critical,CRITICAL,SEMANTIC_CRITICAL,257.585,6,UNKNOWN,
1778419154.130674,Critical,CRITICAL,SEMANTIC_SUMMARY,286.694,10,UNKNOWN,
1778419154.853246,Stable,CRITICAL,SEMANTIC_CRITICAL,752.328,1,UNKNOWN,
1778419155.84985,Critical,CRITICAL,SEMANTIC_SUMMARY,256.995,4,UNKNOWN,
1778419156.36006,Critical,CRITICAL,SEMANTIC_CRITICAL,511.654,6,UNKNOWN,
1778419157.853802,Critical,ALERT,SEMANTIC_ALERT,255.132,12,UNKNOWN,
1778419158.602943,Stable,ALERT,FULL_ECG_PRIORITY,257.911,1,UNKNOWN,
1778419159.34965,Critical,ALERT,SEMANTIC_ALERT,754.624,3,UNKNOWN,
1778419160.105973,Stable,ALERT,FULL_ECG_PRIORITY,257.741,1,UNKNOWN,
1778419160.849707,Critical,NORMAL,SEMANTIC_SUMMARY,756.045,3,UNKNOWN,
1778419161.606257,Stable,NORMAL,FULL_ECG,257.159,1,UNKNOWN,
1778419162.350821,Critical,NORMAL,SEMANTIC_SUMMARY,755.177,3,UNKNOWN,
1778419163.35793,Stable,NORMAL,FULL_ECG,257.296,1,UNKNOWN,
1778419164.101497,Critical,NORMAL,SEMANTIC_SUMMARY,505.513,2,UNKNOWN,
1778419164.850043,Stable,NORMAL,FULL_ECG,258.091,1,UNKNOWN,
1778419165.353009,Critical,NORMAL,SEMANTIC_SUMMARY,507.372,2,UNKNOWN,
1778419166.097676,Stable,NORMAL,FULL_ECG,254.276,1,UNKNOWN,
1778419166.849867,Critical,NORMAL,SEMANTIC_SUMMARY,757.607,3,UNKNOWN,
1778419167.605807,Stable,NORMAL,FULL_ECG,264.339,1,UNKNOWN,
1778419168.344858,Critical,NORMAL,SEMANTIC_SUMMARY,753.291,3,UNKNOWN,
1778419169.104331,Stable,NORMAL,FULL_ECG,252.639,1,UNKNOWN,
