[WARD] PatientFusionEncoder available=False
[WARD] Listening on 0.0.0.0:5006
[WARD CMD] Unstable/CRITICAL -> SEMANTIC_CRITICAL (latency=510.2ms, windows=2, debounce=2)
[WARD CMD] Unstable/ALERT -> SEMANTIC_SUMMARY (latency=253.0ms, windows=5, debounce=1)
[WARD CMD] Stable/ALERT -> FULL_ECG_PRIORITY (latency=256.9ms, windows=1, debounce=1)
[WARD CMD] Unstable/ALERT -> SEMANTIC_SUMMARY (latency=505.4ms, windows=1, debounce=2)
[WARD CMD] Stable/ALERT -> FULL_ECG_PRIORITY (latency=258.2ms, windows=1, debounce=1)
[WARD CMD] Unstable/CRITICAL -> SEMANTIC_CRITICAL (latency=252.4ms, windows=3, debounce=1)
[WARD CMD] Unstable/CRITICAL -> SEMANTIC_SUMMARY (latency=252.9ms, windows=6, debounce=1)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_CRITICAL (latency=506.7ms, windows=1, debounce=2)
[WARD CMD] Unstable/CRITICAL -> SEMANTIC_SUMMARY (latency=256.7ms, windows=4, debounce=1)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_CRITICAL (latency=507.3ms, windows=1, debounce=2)
[WARD CMD] Unstable/CRITICAL -> SEMANTIC_SUMMARY (latency=257.1ms, windows=4, debounce=1)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_CRITICAL (latency=519.1ms, windows=1, debounce=2)
[WARD CMD] Unstable/ALERT -> SEMANTIC_SUMMARY (latency=258.8ms, windows=6, debounce=1)
[WARD CMD] Stable/ALERT -> FULL_ECG_PRIORITY (latency=255.0ms, windows=1, debounce=1)
[WARD CMD] Unstable/CRITICAL -> SEMANTIC_CRITICAL (latency=254.6ms, windows=2, debounce=1)
[WARD CMD] Unstable/CRITICAL -> SEMANTIC_SUMMARY (latency=255.8ms, windows=10, debounce=1)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_CRITICAL (latency=755.1ms, windows=2, debounce=3)
[WARD CMD] Unstable/CRITICAL -> SEMANTIC_SUMMARY (latency=258.0ms, windows=2, debounce=1)
[WARD CMD] Unstable/CRITICAL -> SEMANTIC_CRITICAL (latency=752.6ms, windows=1, debounce=3)
[WARD CMD] Stable/ALERT -> SEMANTIC_SUMMARY (latency=255.5ms, windows=1, debounce=1)
[WARD CMD] Stable/ALERT -> FULL_ECG_PRIORITY (latency=252.2ms, windows=1, debounce=1)
[WARD CMD] Unstable/CRITICAL -> SEMANTIC_CRITICAL (latency=502.4ms, windows=3, debounce=2)
[WARD CMD] Unstable/ALERT -> SEMANTIC_ALERT (latency=252.3ms, windows=5, debounce=1)
[WARD CMD] Stable/ALERT -> FULL_ECG_PRIORITY (latency=252.6ms, windows=1, debounce=1)
[WARD CMD] Unstable/ALERT -> SEMANTIC_ALERT (latency=752.5ms, windows=3, debounce=3)
[WARD CMD] Stable/ALERT -> FULL_ECG_PRIORITY (latency=253.9ms, windows=1, debounce=1)
[WARD CMD] Unstable/NORMAL -> SEMANTIC_SUMMARY (latency=502.9ms, windows=3, debounce=2)
[WARD CMD] Stable/NORMAL -> FULL_ECG (latency=252.8ms, windows=1, debounce=1)
[WARD CMD] Unstable/NORMAL -> DOWNSAMPLED_ECG (latency=257.2ms, windows=3, debounce=1)
[WARD CMD] Stable/NORMAL -> FULL_ECG (latency=257.2ms, windows=1, debounce=1)
[WARD CMD] Unstable/NORMAL -> DOWNSAMPLED_ECG (latency=752.4ms, windows=3, debounce=3)
[WARD CMD] Stable/NORMAL -> FULL_ECG (latency=256.3ms, windows=1, debounce=1)
[WARD CMD] Unstable/CRITICAL -> SEMANTIC_CRITICAL (latency=252.8ms, windows=3, debounce=1)
[WARD CMD] Unstable/CRITICAL -> SEMANTIC_SUMMARY (latency=256.7ms, windows=6, debounce=1)
[WARD CMD] Unstable/CRITICAL -> SEMANTIC_CRITICAL (latency=752.5ms, windows=9, debounce=3)
[WARD CMD] Unstable/CRITICAL -> SEMANTIC_SUMMARY (latency=252.2ms, windows=14, debounce=1)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_CRITICAL (latency=752.5ms, windows=2, debounce=3)
[WARD CMD] Unstable/CRITICAL -> SEMANTIC_SUMMARY (latency=255.6ms, windows=3, debounce=1)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_CRITICAL (latency=756.0ms, windows=2, debounce=3)
[WARD CMD] Unstable/CRITICAL -> SEMANTIC_SUMMARY (latency=259.9ms, windows=2, debounce=1)
[WARD CMD] Stable/ALERT -> FULL_ECG_PRIORITY (latency=262.3ms, windows=1, debounce=1)
[WARD CMD] Unstable/CRITICAL -> SEMANTIC_SUMMARY (latency=252.4ms, windows=2, debounce=1)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_CRITICAL (latency=753.5ms, windows=2, debounce=3)
[WARD CMD] Unstable/CRITICAL -> SEMANTIC_SUMMARY (latency=259.1ms, windows=5, debounce=1)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_CRITICAL (latency=752.1ms, windows=2, debounce=3)
[WARD CMD] Unstable/CRITICAL -> SEMANTIC_SUMMARY (latency=255.3ms, windows=1, debounce=1)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_CRITICAL (latency=257.3ms, windows=1, debounce=1)
[WARD CMD] Unstable/CRITICAL -> SEMANTIC_SUMMARY (latency=252.3ms, windows=3, debounce=1)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_CRITICAL (latency=502.4ms, windows=1, debounce=2)
[WARD CMD] Unstable/CRITICAL -> SEMANTIC_SUMMARY (latency=252.5ms, windows=1, debounce=1)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_CRITICAL (latency=511.5ms, windows=1, debounce=2)
[WARD CMD] Critical/ALERT -> SEMANTIC_ALERT (latency=505.0ms, windows=2, debounce=2)
[WARD CMD] Stable/ALERT -> FULL_ECG_PRIORITY (latency=508.7ms, windows=2, debounce=2)
[WARD CMD] Unstable/ALERT -> SEMANTIC_ALERT (latency=502.2ms, windows=1, debounce=2)
[WARD CMD] Critical/NORMAL -> SEMANTIC_SUMMARY (latency=259.8ms, windows=1, debounce=1)
[WARD CMD] Stable/NORMAL -> FULL_ECG (latency=502.5ms, windows=2, debounce=2)
