timestamp,bandwidth_usage_bps,throughput_bps,packet_loss_rate,jitter,avg_delay,active_devices,packets_per_window,network_condition,predictor_source,prediction_confidence,estimated_lost_bytes,reordered_recovered_packets,receiver_overloaded,drain_max_ms,drain_avg_ms,drain_budget_hits,drain_backlog_hits
1778413404.442,26880.0,19200.0,0.299065,77.62818,251.723604,5,107,Critical,heuristic,,2048,51,0,0.213,0.089,0,0
1778413404.69,29952.0,22784.0,0.293651,89.579186,243.600717,5,126,Critical,heuristic,,2368,65,1,0.17,0.072,0,1
1778413404.941,20480.0,20480.0,0.215686,72.206557,252.572846,4,102,Critical,heuristic,,1408,64,0,0.222,0.078,0,0
1778413405.189,21248.0,18944.0,0.149425,76.351839,259.714436,4,87,Critical,heuristic,,832,48,0,0.205,0.083,0,0
1778413405.439,28416.0,20480.0,0.338843,68.8842,250.808004,6,121,Critical,heuristic,,2624,53,0,0.159,0.074,0,0
1778413405.695,21248.0,20224.0,0.11236,66.430379,259.917123,5,89,Critical,heuristic,,640,57,0,0.189,0.079,0,0
1778413405.938,24832.0,17920.0,0.278351,67.264366,257.547842,4,97,Critical,heuristic,,1728,51,0,0.28,0.082,0,0
1778413406.197,28416.0,19712.0,0.306306,88.70122,251.298753,4,111,Critical,heuristic,,2176,55,0,0.179,0.081,0,0
1778413406.443,22016.0,19712.0,0.214286,71.735754,257.467908,5,98,Critical,heuristic,,1344,59,0,0.181,0.085,0,0
1778413406.689,20480.0,20736.0,0.047059,68.498929,259.462404,4,85,Critical,heuristic,,256,60,0,0.161,0.077,0,0
1778413406.939,32000.0,21504.0,0.328,82.211222,258.788696,4,125,Critical,heuristic,,2624,60,1,0.156,0.076,0,2
1778413407.19,24576.0,22272.0,0.171429,72.449416,236.878686,4,105,Critical,heuristic,,1152,64,0,0.211,0.076,0,0
1778413407.441,23552.0,20992.0,0.154639,83.638453,248.199614,5,97,Critical,heuristic,,960,59,0,0.171,0.085,0,0
