
[Receiver] Closed-loop gateway listening on :9000
[Receiver] Ward controller target: 10.0.0.1:5006

[Receiver] Semantic drain log : /mnt/c/Users/archi/OneDrive/Desktop/Sem 6/PE/AI-Native-Semantic-Network-Control-for-Remote-Healthcare-Traffic/outputs/evaluation/baseline_natural_20260510_113738/semantic_drain.csv
[MODEL] Model loading disabled by environment variable; using heuristic predictor.
[Receiver] Loaded semantic decoder for ECG
[Receiver] Loaded semantic decoder for BloodPressure
[Receiver] SpO2: no semantic model — raw-only path
[Receiver] SpO2: no semantic model — raw-only path
[Receiver] Temperature: no semantic model — raw-only path
[Receiver] Respiration: no semantic model — raw-only path
[PREDICT] source=heuristic state=Stable loss=1.04% delay=11.89ms jitter=2.42ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.93ms jitter=2.61ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.93ms jitter=2.09ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.71ms jitter=2.21ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.87ms jitter=1.73ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.62ms jitter=2.49ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.77ms jitter=2.34ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.09ms jitter=2.10ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.74ms jitter=2.14ms devices=4
[PREDICT] source=heuristic state=Stable loss=1.04% delay=11.94ms jitter=2.17ms devices=4
[PREDICT] source=heuristic state=Stable loss=1.03% delay=12.21ms jitter=1.96ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.76ms jitter=2.18ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.78ms jitter=2.05ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.21ms jitter=2.15ms devices=4
[PREDICT] source=heuristic state=Stable loss=1.06% delay=12.25ms jitter=2.18ms devices=4
[PREDICT] source=heuristic state=Stable loss=1.00% delay=12.38ms jitter=2.70ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.23ms jitter=2.50ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=13.10ms jitter=2.26ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=13.01ms jitter=2.36ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.63ms jitter=2.20ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.89ms jitter=2.46ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=13.20ms jitter=2.46ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=13.30ms jitter=2.27ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.86ms jitter=2.56ms devices=7
[PREDICT] source=heuristic state=Stable loss=1.04% delay=12.93ms jitter=2.95ms devices=4
[PREDICT] source=heuristic state=Stable loss=1.06% delay=12.70ms jitter=2.41ms devices=4
[PREDICT] source=heuristic state=Stable loss=1.03% delay=12.35ms jitter=1.98ms devices=4
[PREDICT] source=heuristic state=Stable loss=1.01% delay=12.66ms jitter=1.98ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.66ms jitter=2.36ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.99ms jitter=2.34ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.55ms jitter=2.21ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.87ms jitter=2.35ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.75ms jitter=2.36ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=13.26ms jitter=2.32ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.57ms jitter=2.73ms devices=4
[PREDICT] source=heuristic state=Stable loss=1.02% delay=12.95ms jitter=2.55ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.84ms jitter=2.88ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.76ms jitter=2.11ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.43ms jitter=2.22ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.71ms jitter=2.70ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.95ms jitter=3.09ms devices=4
[PREDICT] source=heuristic state=Stable loss=1.04% delay=12.37ms jitter=2.09ms devices=4
[PREDICT] source=heuristic state=Stable loss=1.05% delay=12.52ms jitter=2.13ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.62ms jitter=2.19ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=13.11ms jitter=2.40ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.77ms jitter=2.19ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.40ms jitter=2.27ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.76ms jitter=2.28ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.02ms jitter=2.43ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.89ms jitter=2.21ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.78ms jitter=2.21ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.18ms jitter=2.43ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.08ms jitter=2.19ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.22ms jitter=2.45ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.45ms jitter=2.13ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.55ms jitter=2.08ms devices=7
[PREDICT] source=heuristic state=Stable loss=1.05% delay=11.98ms jitter=2.74ms devices=4
[Receiver] Elapsed: 1m 0s | Rows:   240 | Status: Running
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.28ms jitter=2.26ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.80ms jitter=2.03ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.99% delay=12.15ms jitter=2.38ms devices=8
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.13ms jitter=2.63ms devices=4
[PREDICT] source=heuristic state=Unstable loss=0.00% delay=3.60ms jitter=18.99ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.15ms jitter=2.43ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.82ms jitter=2.43ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.96ms jitter=2.64ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.04ms jitter=2.17ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.97ms jitter=2.16ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.08ms jitter=2.29ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.15ms jitter=2.05ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.20ms jitter=2.10ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.15ms jitter=2.32ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=11.93ms jitter=2.18ms devices=7
[PREDICT] source=heuristic state=Stable loss=1.05% delay=12.02ms jitter=2.11ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.05ms jitter=1.99ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.16ms jitter=2.23ms devices=4
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.38ms jitter=2.57ms devices=7
[PREDICT] source=heuristic state=Stable loss=0.00% delay=12.44ms jitter=2.06ms devices=4
